Original Filename,Preprocessed Text
66 Reposteria y Chocolateria,curso cubrir tecnica avanzado reposteria chocolaterio creacion postre complejo manipulacion chocolate producto gourmet estudiant aprenderar trabajar diferente tipo chocolate crear decoracion elaborado desarrollar habilidad presentacion postre alto calidad
67 Innovacion Culinaria,curso explorar tecnica innovadora contemporanea cocín permitir estudiante desarrollar nuevo enfoque concepto creativo hacer hincapie experimentacion ingrediente textura sabor proponer plato original estudiante tambien aprender utilizar herramienta tecnologica innovacion culinario finalmente fomentar creacion menus vanguardista adaptabl tendencia global
68 Enologia y Cocteleria,curso centrar estudio profundo vino produccion correcta cata maridaje distinto alimento adema incluir introduccion cocteleria estudiant aprender tecnica clasica moderno preparacion cocteles prestar especial atencion historia evolucion bebida espirituosa alumno desarrollar habilidad practica mezcla presentacion coctel autor
69 Administracion de Eventos,curso proporcionar vision integral planificacion gestion eventos industria hospitalidad estudiante estudiar organizacion logistico manejo presupuesto recurso humano abordar tecnica promocion marketing evento exitoso considerar satisfaccion cliente tambien incluir estudio caso evento internacional gran escala analizar dinamica gestion
6 Inglés Nivel 1,curso introducir estudiante concepto fundamental ingl enfocar él habilidad basica comunicacion cubrir aspecto gramatica vocabulario comprension oral actividad practica mejorar capacidad leer escribir ingl
70 Gerencia Financiera HSP,curso abordar aspecto financiero fundamental gestion hospitalidad estudiante aprender desarrollar analizar presupuesto controlar costo realizar proyeccion financiero negocio sector tambien cubrir administracion ingreso tomar decision basado dato financiero largo curso alumno aplicar herramienta software optimizar rentabilidad contexto real
71 Identidad Culinaria,curso examinar gastronomia reflejar identidad cultural diverso region enfoque analisis tradicion culinario estudiante investigar impacto globalizacion gastronomia local tendencia actual afectar patrimonio culinario traves investigacion trabajo campo desarrollar proyecto preservar reinventar plato tradicional adema discutir tema relacionado sostenibilidad culturo alimentario
72 Fundamentos de la Educacion,asignatura ofrecer introduccion integral principio basico educacion estudiantes explorar fundamento historico filosofico social sistema educativo analizar teoria pedagogica clave discutira influido practica educativo moderno adema examinar desafio actual educacion papel docente sociedad
73 Teorias del Aprendizaje,curso cubrir principal teoria aprendizaje perspectiva psicologico educativo estudiantes estudiar teoria conductismo cognitivismo constructivismo analizar influir ensenanza aprendizaje discutira aplicacion teoria aula diferente enfoque poder adaptar él necesidad diverso alumno curso fomentar comprension criticar aprender
74 Desarrollo  Niño y Adolescente,asignatura explorar etapa clave desarrollo fisico cognitivo emocional social nino adolescente estudiant aprenderar identificar hito importante desarrollo comprenderar factor influir crecimiento joven adema abordar desafio común enfrentar etapa incluir adaptacion escolar identidad personal relacion par tambien discutiran estrategia educativo apoyar desarrollo saludable
75 Planificacion y Evaluacion 1,curso estudiant aprenderar planificar leccion evaluar rendimiento academico estudiante manerar efectivo revisar diferente metodologia ensenanza evaluacion destacar importancia planificacion detallado alcanzar objetivo aprendizaje adema introduciro uso herramienta evaluacion formativo sumativo estudiante desarrollar habilidad crear plan clase promover aprendizaje efectivo
76 Estadistica para CCSS,curso proporcionar base estadistico aplicado ciencia social estudiante aprenderar concepto clave recoleccion dato analisis estadistico interpretacion resultado enfoque estara aplicacion practicar tecnica estadistica resolver problema real ciencia social abordar tema regresion correlacion prueba hipotesis utilizar software especializado realizar analisis
77 Neurociencia y Educacion,asignatura explorar conexion cerebro aprendizaje introducir estudiante fundamento neurociencio aplicado educacion estudiar proceso cerebral influir adquisicion conocimiento memoria comportamiento ademas discutiran tema plasticidad cerebral impacto educacion asi estrategia basado neurociencia mejorar aprendizaje ensenanzo
78 Planificacion y Evaluacion 2,asignatura continuacion curso planificacion evaluacion estudiant profundizar creacion plan clase detallado uso diverso tecnica evaluacion hara enfasis retroalimentacion ajuste plan ensenanza funcion resultado evaluacion tambien revisar estrategia integrar evaluacion formativo sumativo proceso ensenanzo
79 Coloquios EDU,curso ofrecer espacio discusion reflexion criticar tema actualidad ambito educacion estudiantes participar debate presentacion analisi caso fin desarrollar habilidad comunicacion pensamiento critico coloquio permitirar estudiante explorar diverso punto visto proponer solucion innovadora problema educativo contemporaneo
7 Inglés Nivel 2,continuacion curso nivel curso profundizar estructura gramatical mas complejo expandir vocabulario introducir lectura mas avanzado practicar conversacion mejorar fluidez comprension
80 Ensenanza de Lenguaje,curso abordar metodologia estrategia ensenanzo lenguaje alfabetizacion explorar diverso teoria desarrollo lenguaje analizar metodo practico mejorar comprension lector expresion escrito estudiante aprenderar adaptar ensenanza diferente nivel contexto objetivo desarrollar competencia comunicativo alumno
81 Practica 1,primero practicar campo educativo permitir estudiante aplicar conocimiento teorico adquirido entorno real experiencia supervisado estudiante participar actividad ensenanzo apoyo dentro aula bajo orientacion docente experimentado practica proporcionar introduccion dinamica trabajo docente ayudar desarrollar competencia profesional
82 Metodologias de Ensenanza,curso ofrecer analisis detallado diferente metodologia ensenanzo utilizado educacion moderno estudiante explorar enfoque tradicional contemporaneo ensenanzo directo aprendizaje basado problema instruccion diferenciado largo curso analizar caso practico promovero creacion estrategia ensenanzo adaptado diverso necesidad educativo
83 Ensenanza de Matematicas,curso enfocar metodologia ensenanzo efectivo matematica estudiante aprenderar disenar leccion promover pensamiento logico critico utilizar ejemplo practico tecnica pedagogica innovadora tambien explorar enfoque diferenciado ensenanza concepto matematico adaptado diverso nivel aprendizaje
84 Ensenanza de Ciencias Sociales,curso abordar estrategia ensenanzo ciencias social aula estudiante aprenderar integrar historia geografia economia campo leccion dinamica hacer enfasis desarrollo pensamiento critico capacidad alumno relacionar contenido problema tema social contemporaneo explorar caso estudio actividad interactivo
85 Arte y Educacion,curso explorar interseccion artes visuales educacion estudiantes aprenderar utilizar art fomentar creatividad pensamiento critico aula abordar diverso tecnica artistica poder integrar él diferente materia enriquecer proceso aprendizaje tambien discutirar papel arte desarrollo integral alumno
86 Bilingualism,curso examinar fundamento bilinguismo implicaciones educacion explorar teoria desarrollo bilingue estrategia apoyar estudiante aprendizaje dos mas lengua estudiant aprenderar disenar plan ensenanza promover bilinguismo manera efectivo considerar contexto cultural linguistico alumno
87 Practica 2,segundo practica profesional brindar estudiante oportunidad aplicar conocimiento entorno educativo real bajo supervision docente estudiante asumirar mayor responsabilidad aula participar activamente planificacion ejecucion leccion esperar estudiante desarrollar habilidad pedagogica avanzado reflexionar practica docente
88 Ensenanza de Ciencias,curso explorar metodologia ensenar ciencia diverso nivel educativo estudiant aprenderar disenar experiencia aprendizaje fomentar indagacion cientifica pensamiento critico integrar actividad practica experimental adema aplicacion teoria educativo facilitar ensenanza ciencia
89 Ensenanza Integrada de CITIAM,curso ofrecer vision holistico ensenanza integrado ciencia tecnologia ingenieria artes matematica citiam estudiante aprenderar conectar concepto distinto disciplina desarrollar plan leccion promover aprendizaje interdisciplinario hacer enfasis creatividad resolucion problema innovacion
8 Programacion en C++ +Ej,curso cubrir fundamento programacion c incluir concepto estructura control funcion arreglo puntero reforzar aprendizaje trav ejercicio practico implementar programa basico c
90 Practica 3,tercero practica profesional estudiant asumirar rol mas activo gestion aula aplicar conocimiento entorno educativo bajo supervision esperar estudiante implementar proyecto educativo mas complejo reforzar habilidad pedagogica mientras reflexionar criticamente desempeno ensenanzo
91 Inclusion y Diversidad,curso analizar principio educacion inclusivo garantizar participacion estudiantes independientemente diferencia fisica cognitiva cultural linguistica estudiant aprenderar disenar entorno aprendizaje promover equidad diversidad enfoque pedagogico respetar particularidad cada alumno
92 Proyecto Integrador EDU,proyecto integrador representar culminacion programa educativo estudiante trabajar proyecto practico combinar conocimiento adquirido largo formacion esperar proyecto abordar problema educativo real proponer solucion innovadora reflejar competencia desarrollado area pedagogia gestion educativo
93 Practica 4,cuarto ultimo practica profesional permitir estudiante aplicar manera integral habilidad pedagogica entorno real experiencia esperar estudiante gestionar manera autonoma aula disenar implementar plan educativo completo practicar fundamental preparar él ejercicio profesional docente
94 Zoología +Lab,curso abordar estudio animal manera cientifica criticar sistematico actualizado aplicado varios carrera revisar varios grupo animal seguir proceso evolutivo paso especializacion desarrollo rol eco sistemico relacion humano estudiar taxonomio filogenia anatomia fisiologia basico ecologia comportamiento reproduccion incluir practica laboratorio salido campo
95 Fisiología +Lab,curso analizar manera ser vivo responder ajustar fisiologicamente condicion impuesto ambiente fisico rodear analisis realizar tiempo ecologico actual cuanto evolutivo bajo hipotesis subyacente respuesta constituir respuesta adaptativa resultado accion seleccion natural curso centrar fisiologia ecologico ser vivo enfasis curso fundamentalmente nivel organismo individual aunque cierto aspecto ie energetico analizar tambien nivel poblacion ecosistema enfocarer problema ecologico demandar respuesta fisiologico organismo usado ejemplo modelo podriar considerar él gremio ecologico grupo taxonomico
96 Evolucion,curso evolucion ofrecer comprension profundo mecanismo proceso dado forma diversidad vida tierra estudiante explorar tema teoria evolucion seleccion natural genetico poblacion especiacion coevolucion analizar evidencia fosil molecular respaldar teoria evolutiva asi patron evolucion diferente linaj adema curso incluir estudio caso ejemplo actual evolucion accion proporcionar perspectiva moderno aplicado estudiante participar actividad practica proyecto investigacion permitirar aplicar concepto aprendido desarrollar habilidad analisi dato evolutivo curso fundamental aquel interesado biologia ecologia genetica ciencias vida proporcionar base solido estudio avanzado carrera area
97 Principios de Marketing,curso introducir estudiante concepto clave marketing incluir estrategia promocion investigacion mercado comportamiento consumidor enfocar empresa crear valor client
98 Estadistica Empresarial +Lab,curso ensén tecnica estadistica aplicado tomir decision empresarial incluir laboratorio estudiant utilizar software estadistico analizar dato real tomar decision informado
99 Gerencia de Costos,curso enfocar identificacion asignacion control costo organizacion proporcionar estudiante herramienta tomar decision basado analisis costo
9 Cálculo Integral + Ej,curso continuo tema calculo diferencial introducir tecnica integracion teorema fundamental aplicacion integral incluir ejercicio practico aplicar concepto problema real
